SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
batch_d_rt,0.95,27,31,0.0,0.0,21.1802012500989,21.1802012500989,0.0,optimal,21.18020125009891
batch_d_rt,0.95,26,31,0.0,0.0,21.7910006743848,21.7910006743848,0.0,optimal,21.791000674384843
batch_d_rt,0.95,25,31,0.0,0.0,22.445326441523,22.445326441523,0.0,optimal,22.445326441522937
batch_d_rt,0.95,24,31,0.0,0.0,23.1399317298831,23.1399317298831,0.0,optimal,23.139931729883084
batch_d_rt,0.95,23,31,0.0,0.0,23.8759762478467,23.8759762478467,0.0,optimal,23.87597624784672
batch_d_rt,0.95,22,31,0.0,0.0,24.6672635294605,24.6672635294605,0.0,optimal,24.667263529460456
batch_d_rt,0.95,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869905
batch_d_rt,0.95,20,31,0.0,0.0,26.4722455148124,26.4722455148124,0.0,optimal,26.47224551481243
batch_d_rt,0.95,19,31,0.0,0.0,27.4898462716956,27.4898462716956,0.0,optimal,27.489846271695537
batch_d_rt,0.95,18,31,0.0,0.0,28.6043569432971,28.6043569432971,0.0,optimal,28.604356943297066
batch_d_rt,0.95,17,31,0.0,0.0,29.8336332642753,29.8336332642753,0.0,optimal,29.83363326427529
batch_d_rt,0.95,16,31,0.0,0.0,31.2009017426086,31.2009017426086,0.0,optimal,31.200901742608576
batch_d_rt,0.95,15,31,0.0,0.0,32.7253940744129,32.7253940744129,0.0,optimal,32.72539407441285
batch_d_rt,0.95,14,31,0.0,0.0,34.4302193932565,34.4302193932565,0.0,optimal,34.43021939325643
batch_d_rt,0.95,13,31,0.0,0.0,36.3459270760637,36.3459270760637,0.0,optimal,36.345927076063646
batch_d_rt,0.95,12,31,0.0,0.0,38.5447682740033,38.5447682740033,0.0,optimal,38.54476827400325
batch_d_rt,0.95,11,31,0.0,0.0,41.0271073353588,41.0271073353588,0.0,optimal,41.027107335358735
batch_d_rt,0.95,10,31,0.0,0.0,43.9172588557872,43.9172588557872,0.0,optimal,43.91725885578713
batch_d_rt,0.95,9,31,0.0,0.0,47.2537847944506,47.2537847944506,0.0,optimal,47.25378479445057
batch_d_rt,0.95,8,31,0.0,0.0,51.3082475016405,51.3082475016405,0.0,optimal,51.30824750164046
batch_d_rt,0.95,7,31,0.0,0.0,56.051281446013,56.051281446013,0.0,optimal,56.05128144601299
batch_d_rt,0.95,6,31,0.0,0.0,61.6835900240853,61.6835900240853,0.0,optimal,61.68359002408521
batch_d_rt,0.95,5,31,0.0,0.0,69.2712825024042,69.2712825024042,0.0,optimal,69.27128250240419
batch_d_rt,0.95,4,31,0.0,0.0,79.9155075457566,79.9155075457566,0.0,optimal,79.91550754575654
batch_d_rt,0.95,3,31,0.0,0.0,91.7561987324059,91.7561987324059,0.0,optimal,91.75619873240579
batch_d_rt,0.95,2,31,0.0,0.0,107.369544200539,107.369544200539,0.0,optimal,107.36954420053854
batch_d_rt,0.95,1,31,0.0,0.0,132.119652525133,132.119652525133,0.0,optimal,132.11965252513244
batch_c_rt,0.95,21,40,0.0,0.0,23.8763639755054,23.8763639755054,0.0,optimal,23.876363975505374
batch_c_rt,0.95,21,39,0.0,0.0,24.0344998370471,24.0344998370471,0.0,optimal,24.034499837047118
batch_c_rt,0.95,21,38,0.0,0.0,24.1998741162623,24.1998741162623,0.0,optimal,24.19987411626233
batch_c_rt,0.95,21,37,0.0,0.0,24.3713311384534,24.3713311384534,0.0,optimal,24.37133113845341
batch_c_rt,0.95,21,36,0.0,0.0,24.5481714638404,24.5481714638404,0.0,optimal,24.54817146384035
batch_c_rt,0.95,21,35,0.0,0.0,24.7351008223304,24.7351008223304,0.0,optimal,24.735100822330388
batch_c_rt,0.95,21,34,0.0,0.0,24.9219407535224,24.9219407535224,0.0,optimal,24.921940753522442
batch_c_rt,0.95,21,33,0.0,0.0,25.1190830984621,25.1190830984621,0.0,optimal,25.11908309846211
batch_c_rt,0.95,21,32,0.0,0.0,25.3274482423771,25.3274482423771,0.0,optimal,25.32744824237709
batch_c_rt,0.95,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869905
batch_c_rt,0.95,21,30,0.0,0.0,25.7492779938938,25.7492779938938,0.0,optimal,25.749277993893838
batch_c_rt,0.95,21,29,0.0,0.0,25.9800272492645,25.9800272492645,0.0,optimal,25.98002724926446
batch_c_rt,0.95,21,28,0.0,0.0,26.226841576504,26.226841576504,0.0,optimal,26.22684157650403
batch_c_rt,0.95,21,27,0.0,0.0,26.478040056672,26.478040056672,0.0,optimal,26.478040056672036
batch_c_rt,0.95,21,26,0.0,0.0,26.7308466460288,26.7308466460288,0.0,optimal,26.730846646028805
