SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.95,21,31,0.0,0.0,2608.89357831554,2608.89357831554,0.0,optimal,2608.8935783155343
R,0.0,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.05,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.1,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.15,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.2,21,31,0.0,0.0,29.6322562698805,29.6322562698805,0.0,optimal,29.63225626988052
R,0.25,21,31,0.0,0.0,69.9555269537054,69.9555269537054,0.0,optimal,69.95552695370536
R,0.3,21,31,0.0,0.0,148.689271519083,148.689271519083,0.0,optimal,148.68927151908298
R,0.35,21,31,0.0,0.0,249.498164956075,249.498164956075,0.0,optimal,249.49816495607524
R,0.4,21,31,0.0,0.0,363.184542139958,363.184542139958,0.0,optimal,363.1845421399581
R,0.45,21,31,0.0,0.0,496.096493320011,496.096493320011,0.0,optimal,496.0964933200109
R,0.5,21,31,0.0,0.0,629.932775105596,629.932775105596,0.0,optimal,629.9327751055953
R,0.55,21,31,0.0,0.0,783.69159087896,783.69159087896,0.0,optimal,783.6915908789599
R,0.6000000000000001,21,31,0.0,0.0,960.265327919776,960.265327919776,0.0,optimal,960.2653279197758
R,0.65,21,31,0.0,0.0,1144.2809115659,1144.2809115659,0.0,optimal,1144.2809115658995
R,0.7000000000000001,21,31,0.0,0.0,1343.90245175362,1343.90245175362,0.0,optimal,1343.9024517536186
R,0.75,21,31,0.0,0.0,1576.29826923619,1576.29826923619,0.0,optimal,1576.29826923619
R,0.8,21,31,0.0,0.0,1820.27477252669,1820.27477252669,0.0,optimal,1820.2747725266945
R,0.8500000000000001,21,31,0.0,0.0,2071.93182000474,2071.93182000474,0.0,optimal,2071.931820004742
R,0.9,21,31,0.0,0.0,2333.68445416556,2333.68445416556,0.0,optimal,2333.6844541655564
R,0.95,21,31,0.0,0.0,2608.89357831554,2608.89357831554,0.0,optimal,2608.8935783155343
R,1.0,21,31,0.0,0.0,2898.74956065771,2898.74956065771,0.0,optimal,2898.749560657705
batch_d_rt,0.95,21,31,0.0,0.0,2608.89357831554,2608.89357831554,0.0,optimal,2608.8935783155343
batch_d_rt,0.95,20,31,0.0,0.0,2704.89509192347,2704.89509192347,0.0,optimal,2704.8950919234653
batch_d_rt,0.95,19,31,0.0,0.0,2810.21834395561,2810.21834395561,0.0,optimal,2810.218343955605
