SA Param,R,valid_pair_span,DandC,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.675,30,0.2,256.201990627143,256.201990627143,0.0,feasible,256.2019906271434
R,0.6,30,0.2,199.279576773805,199.279576773805,0.0,feasible,199.2795767738048
R,0.61,30,0.2,206.481138258136,206.481138258136,0.0,feasible,206.481138258136
R,0.62,30,0.2,213.743715698422,213.743715698422,0.0,feasible,213.74371569842154
R,0.63,30,0.2,221.085113281123,221.085113281123,0.0,feasible,221.08511328112286
R,0.64,30,0.2,228.677632238105,228.677632238105,0.0,feasible,228.67763223810474
R,0.65,30,0.2,236.448475610255,236.448475610255,0.0,feasible,236.44847561025546
R,0.66,30,0.2,244.279302360948,244.279302360948,0.0,feasible,244.2793023609478
R,0.67,30,0.2,252.220820965101,252.220820965101,0.0,feasible,252.22082096510107
R,0.68,30,0.2,260.264800890427,260.264800890427,0.0,feasible,260.2648008904269
R,0.6900000000000001,30,0.2,268.46492727902,268.46492727902,0.0,feasible,268.4649272790198
R,0.7000000000000001,30,0.2,276.749363436149,276.749363436149,0.0,feasible,276.74936343614894
R,0.7100000000000001,30,0.2,285.070061515934,285.070061515934,0.0,feasible,285.07006151593384
R,0.7200000000000001,30,0.2,293.570334027202,293.570334027202,0.0,feasible,293.5703340272018
R,0.7300000000000001,30,0.2,302.371732797903,302.371732797903,0.0,feasible,302.3717327979035
R,0.7400000000000001,30,0.2,311.480083063986,311.480083063986,0.0,feasible,311.4800830639856
R,0.7500000000000001,30,0.2,320.684160019046,320.684160019046,0.0,feasible,320.6841600190464
R,0.7600000000000001,30,0.2,330.059332960383,330.059332960383,0.0,feasible,330.05933296038285
R,0.7700000000000001,30,0.2,339.540488307187,339.540488307187,0.0,feasible,339.5404883071869
R,0.7800000000000001,30,0.2,349.296895675414,349.296895675414,0.0,feasible,349.2968956754142
R,0.7900000000000001,30,0.2,359.312983621589,359.312983621589,0.0,feasible,359.31298362158884
R,0.8000000000000002,30,0.2,369.681245626751,369.681245626751,0.0,feasible,369.6812456267507
R,0.8100000000000002,30,0.2,380.30617922537,380.30617922537,0.0,feasible,380.30617922537
R,0.8200000000000002,30,0.2,391.425393211652,391.425393211652,0.0,feasible,391.42539321165157
R,0.8300000000000002,30,0.2,402.584631121684,402.584631121684,0.0,feasible,402.58463112168397
R,0.8400000000000002,30,0.2,413.992910937708,413.992910937708,0.0,feasible,413.99291093770825
R,0.8500000000000002,30,0.2,425.800079317529,425.800079317529,0.0,feasible,425.8000793175286
R,0.8600000000000002,30,0.2,437.75571053045,437.75571053045,0.0,feasible,437.75571053044956
R,0.8700000000000002,30,0.2,449.836440339647,449.836440339647,0.0,feasible,449.836440339647
R,0.8800000000000002,30,0.2,462.497203199769,462.497203199769,0.0,feasible,462.49720319976865
R,0.8900000000000002,30,0.2,475.503486038933,475.503486038933,0.0,feasible,475.5034860389332
R,0.9000000000000002,30,0.2,488.814266954554,488.814266954554,0.0,feasible,488.8142669545539
R,0.9100000000000003,30,0.2,502.36037540635,502.36037540635,0.0,feasible,502.3603754063503
R,0.9200000000000003,30,0.2,516.330767913658,516.330767913658,0.0,feasible,516.3307679136578
R,0.9300000000000003,30,0.2,530.488184875798,530.488184875798,0.0,feasible,530.488184875798
R,0.9400000000000003,30,0.2,545.303427688651,545.303427688651,0.0,feasible,545.3034276886502
R,0.9500000000000003,30,0.2,560.530652153829,560.530652153829,0.0,feasible,560.530652153829
R,0.9600000000000003,30,0.2,576.09586485677,576.09586485677,0.0,feasible,576.0958648567703
R,0.9700000000000003,30,0.2,592.010073383202,592.010073383202,0.0,feasible,592.0100733832014
R,0.9800000000000003,30,0.2,608.523531122252,608.523531122252,0.0,feasible,608.5235311222524
R,0.9900000000000003,30,0.2,625.267773139288,625.267773139288,0.0,feasible,625.2677731392882
R,1.0000000000000004,30,0.2,642.204952286042,642.204952286042,0.0,feasible,642.2049522860417
R,1.0100000000000002,30,0.2,661.367197850108,661.367197850108,0.0,feasible,661.3671978501079
R,1.0200000000000005,30,0.2,680.75291161897,680.75291161897,0.0,feasible,680.752911618969
R,1.0300000000000002,30,0.2,700.474812338233,700.474812338233,0.0,feasible,700.4748123382328
R,1.0400000000000005,30,0.2,720.833563948265,720.833563948265,0.0,feasible,720.8335639482651
R,1.0500000000000003,30,0.2,741.625106852571,741.625106852571,0.0,feasible,741.6251068525709
valid_pair_span,0.675,1,0.2,81.5497323545544,81.5497323545544,0.0,feasible,81.54973235455444
valid_pair_span,0.675,2,0.2,142.565340433529,142.565340433529,0.0,feasible,142.56534043352892
valid_pair_span,0.675,3,0.2,161.913782956377,161.913782956377,0.0,feasible,161.9137829563769
valid_pair_span,0.675,4,0.2,191.300557373526,191.300557373526,0.0,feasible,191.30055737352606
valid_pair_span,0.675,5,0.2,201.469181145955,201.469181145955,0.0,feasible,201.46918114595482
valid_pair_span,0.675,6,0.2,205.30812863701,205.30812863701,0.0,feasible,205.3081286370096
valid_pair_span,0.675,7,0.2,212.357526783939,212.357526783939,0.0,feasible,212.35752678393936
valid_pair_span,0.675,8,0.2,220.037117906736,220.037117906736,0.0,feasible,220.03711790673583
valid_pair_span,0.675,9,0.2,224.083587928753,224.083587928753,0.0,feasible,224.08358792875327
valid_pair_span,0.675,10,0.2,228.926002890508,228.926002890508,0.0,feasible,228.92600289050745
valid_pair_span,0.675,15,0.2,246.758668034886,246.758668034886,0.0,feasible,246.7586680348863
valid_pair_span,0.675,20,0.2,252.933944315758,252.933944315758,0.0,feasible,252.9339443157584
