SA Param,R,valid_pair_span,DandC,Lower bound,Upper bound,Optimality Gap,Status,Objective
R,1.0500000000000003,30,0.2,749.565307910255,749.565307910255,0.0,feasible,749.5653079102553
valid_pair_span,0.675,1,0.2,83.9985163871233,83.9985163871233,0.0,feasible,83.99851638712326
valid_pair_span,0.675,2,0.2,145.42977996659,145.42977996659,0.0,feasible,145.42977996658962
valid_pair_span,0.675,3,0.2,163.433244291878,163.433244291878,0.0,feasible,163.43324429187845
valid_pair_span,0.675,4,0.2,193.490600585917,193.490600585917,0.0,feasible,193.49060058591684
valid_pair_span,0.675,5,0.2,204.539158984783,204.539158984783,0.0,feasible,204.53915898478337
valid_pair_span,0.675,6,0.2,208.633024045445,208.633024045445,0.0,feasible,208.63302404544532
valid_pair_span,0.675,7,0.2,216.655200721919,216.655200721919,0.0,feasible,216.65520072191913
valid_pair_span,0.675,8,0.2,224.470882674574,224.470882674574,0.0,feasible,224.47088267457394
valid_pair_span,0.675,9,0.2,228.991145626752,228.991145626752,0.0,feasible,228.9911456267524
valid_pair_span,0.675,10,0.2,233.330833933246,233.330833933246,0.0,feasible,233.33083393324551
valid_pair_span,0.675,15,0.2,252.945211343045,252.945211343045,0.0,feasible,252.94521134304503
valid_pair_span,0.675,20,0.2,258.508317089764,258.508317089764,0.0,feasible,258.50831708976375
valid_pair_span,0.675,25,0.2,259.334638020338,259.334638020338,0.0,feasible,259.33463802033754
valid_pair_span,0.675,30,0.2,260.864386966702,260.864386966702,0.0,feasible,260.86438696670183
valid_pair_span,0.675,35,0.2,262.40202873024,262.40202873024,0.0,feasible,262.40202873024043
valid_pair_span,0.675,40,0.2,263.210695060515,263.210695060515,0.0,feasible,263.2106950605149
valid_pair_span,0.675,45,0.2,263.22403830225,263.22403830225,0.0,feasible,263.2240383022502
valid_pair_span,0.675,50,0.2,263.252851012558,263.252851012558,0.0,feasible,263.2528510125577
valid_pair_span,0.675,55,0.2,263.252864290963,263.252864290963,0.0,feasible,263.25286429096354
valid_pair_span,0.675,60,0.2,264.059607933696,264.059607933696,0.0,feasible,264.0596079336963
DandC,0.675,30,0.01,14.5424929993344,14.5424929993344,0.0,feasible,14.542492999334398
DandC,0.675,30,0.21000000000000002,270.806295850389,270.806295850389,0.0,feasible,270.806295850389
DandC,0.675,30,0.2,260.864386966702,260.864386966702,0.0,feasible,260.86438696670183
DandC,0.675,30,0.30000000000000004,356.666105122252,356.666105122252,0.0,feasible,356.66610512225157
DandC,0.675,30,0.4000000000000001,440.668844016667,440.668844016667,0.0,feasible,440.66884401666687
DandC,0.675,30,0.5000000000000001,520.580778621176,520.580778621176,0.0,feasible,520.5807786211759
DandC,0.675,30,0.6000000000000001,563.949569040714,563.949569040714,0.0,feasible,563.9495690407139
DandC,0.675,30,0.7000000000000002,607.318359460252,607.318359460252,0.0,feasible,607.3183594602518
DandC,0.675,30,0.8000000000000003,650.68714987979,650.68714987979,0.0,feasible,650.6871498797904
DandC,0.675,30,0.9000000000000001,694.055940299328,694.055940299328,0.0,feasible,694.0559402993277
DandC,0.675,30,1.0000000000000002,737.424730718866,737.424730718866,0.0,feasible,737.4247307188658
