dum,t,solar,wind
213,213,0,0.845502075
214,214,0,0.941900415
215,215,0,0.94926971
216,216,0,0.915879668
217,217,0,0.849593361
218,218,0,0.598717842
219,219,0,0.678929461
220,220,0,0.772248963
221,221,0,0.938360996
222,222,0,0.940302905
223,223,0,0.947858921
224,224,0,0.631311203
225,225,0,0.629024896
226,226,0.21784,0.528502075
227,227,0.5162,0.314804979
228,228,0.41728,0.329543568
229,229,0.4998,0.648195021
230,230,0.42832,0.393452282
231,231,0.5697,0.901966805
232,232,0.42842,0.923821577
233,233,0.64302,0.927838174
234,234,0.54696,0.929074689
235,235,0,0.948929461
236,236,0,0.949012448
237,237,0,0.917128631
238,238,0,0.658315353
239,239,0,0.523253112
240,240,0,0.851473029
241,241,0,0.946651452
242,242,0,0.913352697
243,243,0,0.752431535
244,244,0,0.942352697
245,245,0,0.948286307
246,246,0,0.949572614
247,247,0,0.90519917
248,248,0,0.907215768
249,249,0,0.905576763
250,250,0.20746,0.854186722
251,251,0.67044,0.675058091
252,252,0.77038,0.352452282
253,253,0.71772,0.298564315
254,254,0.68948,0.227551867
255,255,0.75428,0.206248963
256,256,0.70468,0.159029046
257,257,0.74898,0.149041494
258,258,0.49424,0.157078838
259,259,0,0.247987552
260,260,0,0.536037344
261,261,0,0.584780083
262,262,0,0.635958506
263,263,0,0.867556017
264,264,0,0.949228216
265,265,0,0.949759336
266,266,0,0.947278008
267,267,0,0.948809129
268,268,0,0.947460581
269,269,0,0.948008299
270,270,0,0.944427386
271,271,0,0.946053942
272,272,0,0.940248963
273,273,0,0.93726556
274,274,0.24116,0.936282158
275,275,0.69828,0.938709544
276,276,0.73358,0.94433195
277,277,0.69914,0.949929461
278,278,0.71302,0.949522822
279,279,0.71172,0.901261411
280,280,0.71928,0.644207469
281,281,0.74798,0.388921162
282,282,0.5522,0.274892116
283,283,0,0.490074689
284,284,0,0.667414938
285,285,0,0.861419087
286,286,0,0.911489627
287,287,0,0.924883817
288,288,0,0.944896266
289,289,0,0.949962656
290,290,0,0.949970954
291,291,0,0.950070539
292,292,0,0.943917012
293,293,0,0.938278008
294,294,0,0.816033195
295,295,0,0.818713693
296,296,0,0.867423237
297,297,0,0.93440249
298,298,0.23948,0.942721992
299,299,0.73348,0.950037344
300,300,0.83314,0.949929461
301,301,0.77084,0.948726141
302,302,0.77144,0.947626556
303,303,0.70666,0.945298755
304,304,0.7064,0.924912863
305,305,0.66032,0.859526971
306,306,0.48416,0.816058091
307,307,0,0.879954357
308,308,0,0.861373444
309,309,0,0.891004149
310,310,0,0.725647303
311,311,0,0.82966805
312,312,0,0.784713693
313,313,0,0.896502075
314,314,0,0.750410788
315,315,0,0.879655602
316,316,0,0.81233195
317,317,0,0.621680498
318,318,0,0.596
319,319,0,0.430829876
320,320,0,0.325024896
321,321,0,0.259082988
322,322,0.28092,0.221921162
323,323,0.60476,0.234568465
324,324,0.7332,0.17186722
325,325,0.78724,0.146307054
326,326,0.71112,0.167556017
327,327,0.78068,0.138369295
328,328,0.72942,0.160817427
329,329,0.77488,0.17206639
330,330,0.58186,0.241925311
331,331,0,0.444095436
332,332,0,0.630896266
333,333,0,0.843589212
334,334,0,0.937253112
335,335,0,0.912647303
336,336,0,0.916385892
337,337,0,0.934170124
338,338,0,0.92853112
339,339,0,0.926029046
340,340,0,0.915551867
341,341,0,0.931431535
342,342,0,0.933
343,343,0,0.893593361
344,344,0,0.901145228
345,345,0,0.865423237
346,346,0.07392,0.812024896
347,347,0.30098,0.51973444
348,348,0.2334,0.382593361
349,349,0.2336,0.062887967
350,350,0.244,0.000771784
351,351,0.18498,0
352,352,0.17808,0
353,353,0.122,0
354,354,0.06564,0
355,355,0,0.010062241
356,356,0,0.042809129
357,357,0,0.076385892
358,358,0,0.178564315
359,359,0,0.296390041
360,360,0,0.597580913
361,361,0,0.750390041
362,362,0,0.931900415
363,363,0,0.948692946
364,364,0,0.94953527
365,365,0,0.948551867
366,366,0,0.950095436
367,367,0,0.950294606
368,368,0,0.95026971
369,369,0,0.950215768
370,370,0,0.95026971
371,371,0.03876,0.950153527
372,372,0.06246,0.950244813
373,373,0.07694,0.930568465
374,374,0.05922,0.929900415
375,375,0.01698,0.940016598
376,376,0.01406,0.756232365
377,377,0,0.643414938
378,378,0,0.514224066
379,379,0,0.589062241
380,380,0,0.630195021
381,381,0,0.507838174
382,382,0,0.399493776
383,383,0,0.294360996
384,384,0,0.195809129
385,385,0,0.103074689
386,386,0,0.090278008
387,387,0,0.050784232
388,388,0,0.112626556
389,389,0,0.06320332
390,390,0,0.002045643
391,391,0,4.14938E-06
392,392,0,0.005842324
393,393,0,0.029975104
394,394,0,0.084863071
395,395,0,0.929655602
396,396,0.3278,0.021639004
397,397,0.35374,0.034858921
398,398,0.17136,0.068672199
399,399,0.1435,0.034082988
400,400,0.17148,0.019759336
401,401,0.14798,0.111684647
402,402,0.52592,0.365481328
403,403,0,0.527078838
404,404,0,0.742489627
405,405,0,0.903585062
406,406,0,0.938755187
407,407,0,0.927755187
408,408,0,0.890373444
409,409,0,0.888489627
410,410,0,0.738929461
411,411,0,0.045726141
412,412,0,0.375908714
413,413,0,0.08753527
414,414,0,0.258585062
415,415,0,0.359082988
