SA Param,R,batch_d_rt,batch_c_rt,vd,vc,p,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.95,21,31,0.0,0.0,43.03994190705129,25.4475863124117,25.4475863124117,0.0,optimal,25.447586312411655
R,0.0,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.01,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.02,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.03,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.04,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.05,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.06,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.07,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.08,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.09,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.1,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.11,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.12,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.13,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.14,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.15,21,31,0.0,0.0,43.03994190705129,0.0,0.0,0.0,optimal,0.0
R,0.16,21,31,0.0,0.0,43.03994190705129,0.040071173643532,0.040071173643532,0.0,optimal,0.040071173643531986
R,0.17,21,31,0.0,0.0,43.03994190705129,0.0994914801790894,0.0994914801790894,0.0,optimal,0.09949148017908929
R,0.18,21,31,0.0,0.0,43.03994190705129,0.167830334570645,0.167830334570645,0.0,optimal,0.16783033457064495
R,0.19,21,31,0.0,0.0,43.03994190705129,0.236169188962201,0.236169188962201,0.0,optimal,0.23616918896220063
R,0.2,21,31,0.0,0.0,43.03994190705129,0.304508043353756,0.304508043353756,0.0,optimal,0.3045080433537563
R,0.21,21,31,0.0,0.0,43.03994190705129,0.372846897745312,0.372846897745312,0.0,optimal,0.3728468977453119
R,0.22,21,31,0.0,0.0,43.03994190705129,0.441185752136868,0.441185752136868,0.0,optimal,0.4411857521368676
R,0.23,21,31,0.0,0.0,43.03994190705129,0.509524606528423,0.509524606528423,0.0,optimal,0.5095246065284231
R,0.24,21,31,0.0,0.0,43.03994190705129,0.587825086154524,0.587825086154524,0.0,optimal,0.5878250861545238
R,0.25,21,31,0.0,0.0,43.03994190705129,0.703729273184728,0.703729273184728,0.0,optimal,0.7037292731847276
R,0.26,21,31,0.0,0.0,43.03994190705129,0.819927840083786,0.819927840083786,0.0,optimal,0.8199278400837859
R,0.27,21,31,0.0,0.0,43.03994190705129,0.968559209172242,0.968559209172242,0.0,optimal,0.9685592091722419
R,0.28,21,31,0.0,0.0,43.03994190705129,1.12871168102314,1.12871168102314,0.0,optimal,1.1287116810231395
R,0.29,21,31,0.0,0.0,43.03994190705129,1.28886415287404,1.28886415287404,0.0,optimal,1.2888641528740359
R,0.3,21,31,0.0,0.0,43.03994190705129,1.47371741970913,1.47371741970913,0.0,optimal,1.473717419709125
R,0.31,21,31,0.0,0.0,43.03994190705129,1.67463530500499,1.67463530500499,0.0,optimal,1.67463530500499
R,0.32,21,31,0.0,0.0,43.03994190705129,1.87555319030085,1.87555319030085,0.0,optimal,1.8755531903008535
R,0.33,21,31,0.0,0.0,43.03994190705129,2.07647107559672,2.07647107559672,0.0,optimal,2.0764710755967184
R,0.34,21,31,0.0,0.0,43.03994190705129,2.27738896089258,2.27738896089258,0.0,optimal,2.277388960892582
R,0.35000000000000003,21,31,0.0,0.0,43.03994190705129,2.47830684618845,2.47830684618845,0.0,optimal,2.4783068461884468
R,0.36,21,31,0.0,0.0,43.03994190705129,2.67987148880513,2.67987148880513,0.0,optimal,2.6798714888051305
R,0.37,21,31,0.0,0.0,43.03994190705129,2.89297315143157,2.89297315143157,0.0,optimal,2.892973151431572
R,0.38,21,31,0.0,0.0,43.03994190705129,3.11882601240131,3.11882601240131,0.0,optimal,3.1188260124013105
R,0.39,21,31,0.0,0.0,43.03994190705129,3.34653597260294,3.34653597260294,0.0,optimal,3.3465359726029407
R,0.4,21,31,0.0,0.0,43.03994190705129,3.58106186858968,3.58106186858968,0.0,optimal,3.5810618685896807
R,0.41000000000000003,21,31,0.0,0.0,43.03994190705129,3.81771195665224,3.81771195665224,0.0,optimal,3.8177119566522375
R,0.42,21,31,0.0,0.0,43.03994190705129,4.08113859666095,4.08113859666095,0.0,optimal,4.08113859666095
R,0.43,21,31,0.0,0.0,43.03994190705129,4.34766184554549,4.34766184554549,0.0,optimal,4.347661845545489
R,0.44,21,31,0.0,0.0,43.03994190705129,4.61418509443003,4.61418509443003,0.0,optimal,4.6141850944300264
R,0.45,21,31,0.0,0.0,43.03994190705129,4.88070834331457,4.88070834331457,0.0,optimal,4.880708343314565
R,0.46,21,31,0.0,0.0,43.03994190705129,5.14723159219911,5.14723159219911,0.0,optimal,5.147231592199103
R,0.47000000000000003,21,31,0.0,0.0,43.03994190705129,5.41375484108364,5.41375484108364,0.0,optimal,5.413754841083641
R,0.48,21,31,0.0,0.0,43.03994190705129,5.68027808996818,5.68027808996818,0.0,optimal,5.680278089968176
R,0.49,21,31,0.0,0.0,43.03994190705129,5.94680133885272,5.94680133885272,0.0,optimal,5.9468013388527154
R,0.5,21,31,0.0,0.0,43.03994190705129,6.21332458773726,6.21332458773726,0.0,optimal,6.213324587737254
R,0.51,21,31,0.0,0.0,43.03994190705129,6.4812641117925,6.4812641117925,0.0,optimal,6.4812641117924965
R,0.52,21,31,0.0,0.0,43.03994190705129,6.76611414109434,6.76611414109434,0.0,optimal,6.76611414109434
R,0.53,21,31,0.0,0.0,43.03994190705129,7.0567054639963,7.0567054639963,0.0,optimal,7.056705463996304
R,0.54,21,31,0.0,0.0,43.03994190705129,7.36237142889018,7.36237142889018,0.0,optimal,7.362371428890173
R,0.55,21,31,0.0,0.0,43.03994190705129,7.68227845871489,7.68227845871489,0.0,optimal,7.682278458714883
R,0.56,21,31,0.0,0.0,43.03994190705129,8.00705308336847,8.00705308336847,0.0,optimal,8.00705308336847
R,0.5700000000000001,21,31,0.0,0.0,43.03994190705129,8.34673743140191,8.34673743140191,0.0,optimal,8.346737431401905
R,0.58,21,31,0.0,0.0,43.03994190705129,8.68977198085473,8.68977198085473,0.0,optimal,8.689771980854724
R,0.59,21,31,0.0,0.0,43.03994190705129,9.03936107860099,9.03936107860099,0.0,optimal,9.039361078600987
R,0.6,21,31,0.0,0.0,43.03994190705129,9.39506675927869,9.39506675927869,0.0,optimal,9.395066759278688
R,0.61,21,31,0.0,0.0,43.03994190705129,9.76244140432904,9.76244140432904,0.0,optimal,9.762441404329035
R,0.62,21,31,0.0,0.0,43.03994190705129,10.1298160493794,10.1298160493794,0.0,optimal,10.129816049379388
R,0.63,21,31,0.0,0.0,43.03994190705129,10.4971906944297,10.4971906944297,0.0,optimal,10.497190694429737
R,0.64,21,31,0.0,0.0,43.03994190705129,10.8645653394801,10.8645653394801,0.0,optimal,10.864565339480091
R,0.65,21,31,0.0,0.0,43.03994190705129,11.2319399845304,11.2319399845304,0.0,optimal,11.23193998453044
R,0.66,21,31,0.0,0.0,43.03994190705129,11.599628519583,11.599628519583,0.0,optimal,11.599628519583039
R,0.67,21,31,0.0,0.0,43.03994190705129,11.9760299822816,11.9760299822816,0.0,optimal,11.976029982281554
R,0.68,21,31,0.0,0.0,43.03994190705129,12.3766340734678,12.3766340734678,0.0,optimal,12.376634073467793
R,0.6900000000000001,21,31,0.0,0.0,43.03994190705129,12.7884454357605,12.7884454357605,0.0,optimal,12.788445435760513
R,0.7000000000000001,21,31,0.0,0.0,43.03994190705129,13.2002567980532,13.2002567980532,0.0,optimal,13.200256798053232
R,0.71,21,31,0.0,0.0,43.03994190705129,13.6138727409659,13.6138727409659,0.0,optimal,13.613872740965878
R,0.72,21,31,0.0,0.0,43.03994190705129,14.0381951605228,14.0381951605228,0.0,optimal,14.038195160522761
R,0.73,21,31,0.0,0.0,43.03994190705129,14.4730300781607,14.4730300781607,0.0,optimal,14.473030078160681
R,0.74,21,31,0.0,0.0,43.03994190705129,14.9268329801604,14.9268329801604,0.0,optimal,14.92683298016038
R,0.75,21,31,0.0,0.0,43.03994190705129,15.3806358821601,15.3806358821601,0.0,optimal,15.380635882160082
R,0.76,21,31,0.0,0.0,43.03994190705129,15.8389256445608,15.8389256445608,0.0,optimal,15.838925644560781
R,0.77,21,31,0.0,0.0,43.03994190705129,16.3079162628321,16.3079162628321,0.0,optimal,16.307916262832116
R,0.78,21,31,0.0,0.0,43.03994190705129,16.7797501201181,16.7797501201181,0.0,optimal,16.77975012011813
R,0.79,21,31,0.0,0.0,43.03994190705129,17.2534776915407,17.2534776915407,0.0,optimal,17.253477691540688
R,0.8,21,31,0.0,0.0,43.03994190705129,17.7279313967538,17.7279313967538,0.0,optimal,17.727931396753824
R,0.81,21,31,0.0,0.0,43.03994190705129,18.2130219449214,18.2130219449214,0.0,optimal,18.213021944921366
R,0.8200000000000001,21,31,0.0,0.0,43.03994190705129,18.6981124930889,18.6981124930889,0.0,optimal,18.69811249308891
R,0.8300000000000001,21,31,0.0,0.0,43.03994190705129,19.1863762926168,19.1863762926168,0.0,optimal,19.186376292616803
R,0.84,21,31,0.0,0.0,43.03994190705129,19.6796458650397,19.6796458650397,0.0,optimal,19.679645865039717
R,0.85,21,31,0.0,0.0,43.03994190705129,20.1786155906708,20.1786155906708,0.0,optimal,20.17861559067078
R,0.86,21,31,0.0,0.0,43.03994190705129,20.6899972095961,20.6899972095961,0.0,optimal,20.689997209596058
R,0.87,21,31,0.0,0.0,43.03994190705129,21.2013788285213,21.2013788285213,0.0,optimal,21.201378828521346
R,0.88,21,31,0.0,0.0,43.03994190705129,21.7128329949863,21.7128329949863,0.0,optimal,21.712832994986258
R,0.89,21,31,0.0,0.0,43.03994190705129,22.2299740490204,22.2299740490204,0.0,optimal,22.229974049020417
R,0.9,21,31,0.0,0.0,43.03994190705129,22.7623349463018,22.7623349463018,0.0,optimal,22.76233494630176
R,0.91,21,31,0.0,0.0,43.03994190705129,23.2993852195237,23.2993852195237,0.0,optimal,23.29938521952374
R,0.92,21,31,0.0,0.0,43.03994190705129,23.8364354927457,23.8364354927457,0.0,optimal,23.836435492745714
R,0.93,21,31,0.0,0.0,43.03994190705129,24.3734857659677,24.3734857659677,0.0,optimal,24.3734857659677
R,0.9400000000000001,21,31,0.0,0.0,43.03994190705129,24.9105360437122,24.9105360437122,0.0,optimal,24.91053604371221
R,0.9500000000000001,21,31,0.0,0.0,43.03994190705129,25.4475863124117,25.4475863124117,0.0,optimal,25.447586312411666
R,0.96,21,31,0.0,0.0,43.03994190705129,25.9846365901562,25.9846365901562,0.0,optimal,25.98463659015616
