,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
0,23.909761904761897,24.229980158730154,23.63658730158731,24.234107142857134,14.247827380952382,23.874404761904763,22.20700396825395,24.27809523809524,24.66198412698413,24.300952380952392,24.214007936507944,24.485138888888894,24.78224206349207,24.481805555555557,26.922956349206316
1,23.728869047619042,24.590198412698413,23.4961507936508,23.929246031746025,10.62747023809524,23.881011904761895,21.589047619047612,24.741527777777772,25.245674603174614,24.84446428571428,24.67980158730159,24.19049603174603,24.31238095238094,24.84089285714287,24.270873015873025
2,25.0698015873016,26.364662698412708,24.679563492063487,25.464384920634934,17.734077380952378,25.183769841269832,21.704543650793646,26.588591269841274,28.290595238095246,26.57001984126983,26.46077380952382,25.933869047619034,26.403730158730156,26.62545634920634,25.476329365079373
3,24.715238095238085,25.24021825396826,24.589464285714296,24.902956349206356,20.215714285714277,24.451269841269838,23.7540873015873,25.004186507936527,25.979126984127003,25.334642857142846,24.987103174603185,25.13539682539684,25.281448412698417,25.334424603174604,26.55662698412698
4,30.16726190476191,30.451011904761902,29.849404761904765,30.791845238095238,32.10547619047621,29.119424603174586,29.0301388888889,32.61365079365079,32.254265873015875,30.604583333333338,32.80672619047619,31.334226190476194,33.94718253968252,29.95464285714285,36.69077380952382
5,25.3428373015873,25.696051587301586,25.22938492063491,25.325932539682544,24.990833333333327,25.837996031746023,24.052956349206344,25.96277777777778,27.3784126984127,25.7594246031746,25.99507936507936,25.781250000000018,25.90748015873017,27.306349206349203,35.85932539682541
6,21.46220238095239,23.29555555555554,21.045456349206365,21.82609126984126,16.766309523809536,21.58797619047618,17.469583333333333,22.398333333333344,23.364087301587308,23.425972222222235,22.64343253968254,22.380317460317467,22.725059523809527,22.020396825396826,28.868234126984127
7,25.12492063492064,26.154722222222215,24.963650793650793,25.444484126984122,22.697470238095228,24.43200396825395,23.814583333333335,25.64922619047619,26.345059523809535,26.391031746031743,25.767123015873008,25.77410714285715,26.223670634920627,24.654365079365085,41.324484126984125
8,28.264246031746037,28.569861111111113,28.14561507936508,28.361924603174614,25.862202380952393,28.39111111111111,27.2407738095238,28.43470238095238,30.03609126984125,28.78059523809523,28.56910714285713,28.518095238095242,29.18448412698413,29.61087301587302,50.98077380952381
9,32.65268849206348,33.79905753968252,31.609365079365077,34.05605158730161,22.088839285714283,31.651230158730154,26.938134920634926,32.59156746031743,33.62060515873017,34.09642857142857,32.34065476190475,33.86692460317461,36.86357142857143,33.06935515873016,41.51204365079365
10,27.688898809523796,30.69685515873016,27.159593253968243,28.167351190476182,22.70973214285713,27.43252976190475,22.33667658730158,29.508363095238092,29.098134920634916,31.540287698412698,29.34246031746032,29.10990079365078,29.260724206349177,27.752857142857142,40.65280753968255
11,30.289305555555547,33.476190476190496,29.87976190476189,30.697202380952394,22.81014880952381,29.570674603174616,25.771805555555552,32.10990079365082,31.313809523809535,34.45182539682541,32.005873015873014,31.479265873015862,32.18109126984129,31.407757936507952,49.65468253968259
12,27.203333333333337,30.48333333333332,26.755892857142857,27.898313492063487,23.668244047619062,25.6613492063492,22.97672619047618,28.811150793650807,28.177539682539667,31.349900793650786,28.399642857142876,28.74180555555556,29.468075396825395,28.223333333333326,38.6541865079365
13,33.002757936507926,35.305317460317475,32.94603174603175,32.66404761904763,30.56753968253968,34.041369047619035,29.772857142857156,35.16283730158729,36.6372619047619,36.01053571428571,34.92718253968253,33.510456349206336,33.307083333333345,36.554107142857156,35.670357142857156
14,31.41958333333334,36.03583333333332,31.00628968253967,31.746646825396812,21.132361111111113,31.009087301587307,25.233373015873013,35.08591269841269,35.1431746031746,37.14817460317462,34.645238095238085,32.53603174603175,33.12263888888889,33.82994047619047,29.25307539682539
15,31.023293650793644,37.44561507936508,30.355178571428567,31.613115079365095,18.122380952380947,30.358928571428578,22.003313492063494,33.1444246031746,33.110238095238095,38.19900793650794,32.24083333333332,32.36410714285714,33.65841269841268,31.62658730158731,27.49835317460318
16,31.461388888888884,37.86130952380951,31.51708333333333,31.364107142857172,17.336190476190477,30.140456349206342,26.70200396825397,32.60646825396825,33.393670634920646,38.4024603174603,31.89811507936509,31.759226190476188,32.122638888888886,31.521349206349186,32.55234126984129
17,39.506011904761934,44.80474206349204,39.918412698412695,39.292976190476175,30.30402777777779,37.18069444444444,38.39527777777779,41.32849206349206,42.38539682539685,46.226706349206346,40.75378968253967,39.7423015873016,39.74527777777777,39.86162698412697,45.33166666666664
18,42.432718253968254,56.325912698412694,43.53527777777778,40.41775793650794,28.217301587301584,42.25448412698412,35.14329365079364,47.45454365079363,53.166051587301595,57.448630952380945,47.64253968253967,41.64075396825396,41.5197619047619,45.357698412698404,40.56446428571429
19,52.79962301587299,61.066448412698435,53.41589285714287,51.98674603174604,44.43896825396827,51.38444444444444,49.226746031746025,54.30255952380954,55.31267857142858,61.409027777777794,54.47998015873015,52.382698412698424,52.90511904761903,52.86569444444444,56.24486111111113
20,37.15702380952382,42.80795634920636,37.816269841269865,35.65630952380953,28.440912698412678,38.865833333333335,33.93555555555557,38.636111111111084,40.92634920634922,43.10946428571431,38.89698412698414,35.87404761904762,35.88255952380952,40.76257936507933,37.77853174603175
21,38.149682539682544,47.572222222222216,38.87904761904762,36.6476984126984,30.128015873015887,38.71190476190475,32.58539682539683,39.292281746031755,41.38749999999999,48.08186507936506,39.77896825396823,37.031686507936485,37.298075396825396,40.797321428571436,35.67537698412698
22,45.68083333333333,50.543333333333315,46.14456349206349,45.15579365079365,39.01906746031749,44.50007936507937,44.378630952380945,45.48569444444444,47.60049603174603,51.2248015873016,46.146706349206355,45.5212103174603,45.65833333333332,45.85039682539682,48.57275793650792
23,38.22259920634919,46.57001984126985,38.140595238095244,38.240436507936494,18.728988095238098,36.777658730158706,30.974900793650775,37.988035714285694,39.88755952380951,48.28299603174604,38.40958333333334,38.80011904761901,39.79021825396825,38.007599206349205,34.062817460317476
24,44.793690476190456,48.99924603174602,45.0958134920635,44.4625,39.56833333333334,43.77527777777779,43.14559523809525,44.66761904761903,45.56656746031746,49.45813492063491,45.20321428571427,44.82801587301585,45.10666666666667,45.22468253968251,47.150297619047606
25,35.891746031746024,36.58769841269841,35.92474206349207,35.94295634920634,28.585178571428575,35.37839285714288,35.79025793650793,35.847678571428546,36.32670634920634,36.69081349206349,35.87376984126985,36.18470238095238,36.17501984126986,36.316904761904766,39.96787698412699
26,41.11886904761904,41.63607142857142,40.971904761904774,41.61650793650792,40.18271825396826,39.7166865079365,40.91829365079366,41.053452380952386,41.652678571428574,41.757876984126966,41.895615079365065,41.81382936507935,42.20732142857144,40.579960317460326,43.116031746031766
27,85.4815079365079,86.49718253968251,85.31158730158728,86.136369047619,83.58009920634919,83.37202380952382,85.2406150793651,87.85896825396826,85.67543650793645,86.63259920634921,89.34779761904767,86.69087301587297,86.48285714285709,83.44248015873016,87.7397222222222
28,64.06246031746032,64.41184523809521,63.63791666666669,65.52156746031748,62.57648809523812,60.084623015872964,64.53351190476194,69.02809523809522,65.62347222222222,64.45779761904764,70.09307539682538,65.96121031746034,66.26253968253961,56.55132936507936,66.31654761904761
29,44.8127976190476,44.88140873015874,44.577638888888885,45.62428571428572,45.11525793650792,42.66644841269839,45.13888888888891,47.99670634920636,45.57966269841268,44.91404761904762,47.28017857142858,45.77912698412696,45.74720238095238,43.19751984126984,46.50833333333335
30,51.156825396825404,51.52365079365082,50.80075396825397,52.093849206349184,50.354186507936504,48.99924603174601,50.585019841269826,56.35759920634918,53.7624404761905,51.573174603174614,54.391011904761875,52.39513888888892,52.385178571428554,65.66565476190475,52.8071626984127
31,71.81134920634925,72.25329365079362,71.61942460317456,72.17809523809527,69.84684523809521,70.97686507936508,71.07019841269839,72.71222222222221,72.98351190476188,72.34678571428574,72.61648809523808,72.6487896825397,72.53339285714283,92.85470238095236,72.93571428571428
32,147.5510317460317,148.047361111111,147.38873015873017,148.2298214285714,147.52559523809524,145.4238293650794,147.85287698412696,147.9959722222222,148.06986111111115,148.12688492063484,147.83644841269836,148.49492063492062,148.60230158730167,144.81188492063487,149.58597222222238
